"row","category","component","cost","cost_basis","purchase_date","purchase_status","notes"
"90","Interior","Generic corner-bracket allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series order: 8x 4-hole inside corner gussets, 20x 3-hole slotted inside corner brackets, 4x hidden 45 connector assemblies, and 25x blank end fastener assemblies. Keep future bracket adds tied to measured joints only."
"91","Interior","Generic corner-bracket adapter allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series order. The current purchased package is 10-series/1/4-20 focused; no generic 10s-to-15s adapter purchase is assumed unless a measured heavy module later requires it."
"92","Interior","Generic corner-gusset allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series order, including 8x 4-hole inside corner gussets and 20x 3-hole slotted inside corner brackets."
"93","Interior","Generic flat-bracket allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series purchased hardware package for current 10-series mockup/build needs; add measured seam/plate hardware later only if real joints require it."
"94","Interior","Generic 90-degree flat-bracket allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series purchased hardware package for current 10-series mockup/build needs; add measured seam/plate hardware later only if real joints require it."
"95","Interior","Thermal-break spacers and shims","","unknown","","Retired","Retired 2026-07-27 at owner direction. Separate thermal-break spacers/shims are not relevant to the current interior assembly."
"97","Interior","Extrusion-groove panel anti-rattle foam","","unknown","","Retired","Retired 2026-07-27 at owner direction. The current mechanically fastened panel/extrusion assembly has no observed rattle requiring a separate anti-rattle foam purchase."
"101","Interior","Camper sound-system allowance","0.00","not_applicable","","Retired","Replaced by dedicated camper audio rows 189-193: Kicker KMC2 source unit, CSC67 speaker pair, PTRTP10 powered sub, 4 AWG fused sub power kit, RCA/speaker wire and install consumables."
"103","Electrical","370A 12V alternator upgrade","599.00","planning_estimate","","Retired","Mechman 370A alternator for Ford truck 7.3L (SKU 11532370) single-12V upgrade path. Superseded by decision assumption to migrate to dedicated 48V secondary alternator architecture."
"104","Hardware","Big Three wiring upgrade","225.00","planning_estimate","","Retired","Legacy wiring-only estimate tied to 12V high-output alternator path. Superseded by dedicated 48V secondary alternator migration assumption."
"111","Electrical","Standard non-GFCI AC receptacles","0.00","not_applicable","","Retired","Obsolete under the 2026-05-16 AC purchase lock. The active plan uses two 20A GFCI receptacles from row 15 only; no downstream non-GFCI duplex receptacles remain unless a later receptacle-count revision explicitly reopens them."
"118","Electrical","Additional 48V-to-12V converter","","unknown","","Retired","Retired 2026-07-27 at owner direction. No additional 48V-to-12V converter is planned because the installed Orion plus 12V buffer-battery architecture covers the current design; reopen only if measured sustained demand proves otherwise."
"126","Tools","Rivet nut installation tool kit (metric)","32.98","purchase_record","2026-02-22","Returned","Rivet Nut Installation Tool Set (metric assortment) originally purchased on 2026-02-22 and now being returned to Amazon because build hardware standard is 1/4-20 and 5/16-18 SAE."
"128","Hardware","2 AWG red/black cable set (contingency)","184.96","owner_estimate","","Retired","2 AWG pure-copper cable set (30 ft red + 30 ft black) retained as optional fallback reference only. Removed from active cart after committing to TEMCo 2/0 purchase for row 28."
"145","Interior","Floor full thermal break layer (EPDM)","47.22","purchase_record","2026-02-26","Returned","Rubber-Cal EPDM closed-cell sponge rubber, 1/8 in x 39 in x 78 in, qty 2 sheets. Home Depot order canceled before shipment; fully refunded. Not in active floor stack and no material on hand."
"172","Electrical","WS500 PH/NH harness","120.00","planning_estimate","","Retired","Removed from standalone procurement scope. Harness confirmation is now part of row 168 Mechman kit lock workflow."
"173","Hardware","Alternator cable/lug shortfall allowance","120.00","planning_estimate","","Retired","Removed from standalone procurement scope. Current decision is to reuse existing uncut 2/0 inventory for the ~20 ft alternator charge path unless field measurement proves otherwise."
"211","Vehicle Electronics","Morimoto XRGB Evo headlight package","1762.00","owner_estimate","","Retired","Retired 2026-07-27 at owner direction. The Morimoto headlight upgrade was not purchased and is removed from the active build budget."
"228","Hardware","July 18 Amazon hardware-checkout bridge","0.00","not_applicable","","Retired","Resolved from owner-provided Amazon order screenshots on 2026-07-20. The three-item checkout was $20.99 3M heavy-duty double-sided mounting tape, a $6.99 Sanuke 10-piece 4 AWG x 3/8 in/M10 copper-lug set with heat shrink, and a $13.93 TKDMR 10-piece 2/0 AWG x 5/16 in battery-lug set with heat shrink. Item subtotal was $41.91; $3.04 tax produced the $44.95 checkout total. Costs and inventory now live in rows 96, 37, and 35; retain this zero-dollar row only as the reconciliation bridge."
"230","Electrical","Standalone Orion input-fuse assembly","0.00","not_applicable","","Retired","Resolved without additional holder hardware. Final Orion 48V input protection is one 40A MEGA body-marked at least 58VDC in integrated Lynx Slot 4 feeding the existing 6 AWG input pair directly. Existing verified 58VDC stock is acceptable under the locked 56.8V charge ceiling; Victron CIP138040020 40A/80V is replacement fallback only. Standalone F-06, Mersen USM1/ATM20, DIN rail, MIDI, and FKS/ATO holder concepts are not installed."
"234","Plumbing","Joolca permanent three-way hot splitter","0.00","not_applicable","","Retired","The final one-outlet-at-a-time hose architecture does not need a permanent splitter. Retain the included 4 m plus 1 m shower assembly and click the 4 m section from the HOTTAP outlet either to the shower handle/head or to camper RED. Add a genuine Joolca splitter only later if simultaneous ready-to-use shower and sink service proves worth the extra joints and drain volume."
"236","Tools","Temporary plumbing pressure gauge/test adapter","20.00","planning_estimate","","Retired","Retired 2026-07-27 at owner direction. No permanent or temporary plumbing pressure gauge is planned or required for the current build."
"285","Consumables","Gorilla Waterproof Patch & Seal Tape (second roll)","14.00","owner_estimate","","Retired","Retired 2026-07-27 at owner direction. No second Gorilla sealing-tape roll will be purchased; existing tape stock, including owner-reported PTFE and UHMW tape, is sufficient for current work."
"320","Electrical","WS500 voltage-sense fuse and holder (F-13)","15.00","planning_estimate","","Retired","Retired 2026-07-27 after PH-VAN harness review. The confirmed PH-VAN harness combines regulator power and positive voltage sense on one short red lead, so no separate 3A F-13 fuse/holder is installed. Active row 171 owns the one required 15A bank-voltage-rated fuse/holder."
"324","Electrical","Misadvertised 60A MEGA fuse stock (6)","9.98","item_subtotal","2026-02-17","Retired","Purchased in the former mixed row 10 batch but quarantined after the advertised rating proved unsuitable. Do not use this stock on active 48V circuits; active verified 60A/80V stock is row 188."
"325","Hardware","BOJACK 150A AMI/MIDI fuse-holder pack (2)","12.99","item_subtotal","2026-02-23","Retired","Purchased for the obsolete Sterling 12V alternator-charger input path. Retain only as dead-end 12V stock; do not use for active 48V protection without separate voltage and form-factor validation."
"326","Hardware","Littelfuse 04980921GXM5 MIDI fuse holder","17.37","item_subtotal","2026-02-23","Retired","Purchased for the retired standalone Orion F-06 concept. The active Orion 48V input uses the integrated Lynx Slot 4 holder and one verified 40A MEGA, so this holder is dead-end stock."
"331","Electrical","Additional 12V USB-C PD station placeholder","","unknown","","Retired","Retired as a procurement placeholder. Owner reported three USB-PD stations/independent routes in the physical build on 2026-08-05, while active row 115 owns only one exact purchase record. Additional unit costs and purchase provenance remain unknown and are not inferred here."
